gene	logOR	p-value adjusted	P	M	C	S	totalP	totalM	totalC	totalS	mice_with_C_or_S	n_alt_counts	n_CL
ENO4	12.74	1.94e-18	0	0	34	49	11	9	34	49	9	151	5
GPR65	12.76	1.94e-18	0	0	36	48	11	9	36	48	9	162	5
ZNF639	12.81	1.94e-18	0	0	36	51	11	9	36	51	9	351	6
ZNF165	12.72	2.23e-18	0	0	34	48	11	9	34	48	9	166	5
BARX2	12.56	6.87e-18	0	0	33	40	11	9	33	40	9	246	6
CCNE2	12.71	6.87e-18	0	0	36	54	10	8	36	54	9	105	6
MIER3	12.58	6.87e-18	0	0	34	40	11	9	34	40	9	172	5
SERBP1	12.58	6.87e-18	0	0	30	44	11	9	30	44	9	67	6
HNRNPH1	12.68	7.7e-18	0	0	36	52	10	8	36	52	9	152	6
CDS2	12.48	8.57e-18	0	0	32	37	11	9	32	37	9	91	5
CYP46A1	12.48	8.57e-18	0	0	30	39	11	9	30	39	8	130	6
ELOVL2	12.63	8.57e-18	0	0	37	48	10	8	37	48	9	100	5
EPS15L1	12.5	8.57e-18	0	0	31	39	11	9	31	39	9	185	5
FOXN3	12.64	8.57e-18	0	0	37	49	10	8	37	49	8	113	6
SMURF2	12.5	8.57e-18	0	0	29	41	11	9	29	41	9	126	5
SUCNR1	12.48	8.57e-18	0	0	32	37	11	9	32	37	9	183	5
MYH10	12.61	9.11e-18	0	0	34	50	10	8	34	50	9	233	6
XRCC3	12.46	1.21e-17	0	0	28	40	11	9	28	40	9	463	6
TTI1	12.41	1.93e-17	0	0	29	37	11	9	29	37	9	489	6
BPTF	12.5	2.44e-17	0	0	35	43	10	8	35	43	9	327	6
HADH	10.45	2.44e-17	0	0	36	49	11	9	36	51	9	252	5
TRIP11	11.21	2.44e-17	0	0	37	49	11	9	37	50	9	196	6
ROS1	11.16	3.39e-17	0	0	36	47	11	9	36	48	9	472	6
RBM27	12.41	4.68e-17	0	0	34	39	10	8	34	39	9	89	5
ADAMTS9	12.28	7e-17	0	0	24	36	11	9	24	36	9	150	5
ARMCX2	12.28	7e-17	0	0	26	34	11	9	26	34	9	265	5
CCNI2	12.25	7e-17	0	0	28	31	11	9	28	31	9	149	5
HNRNPU	10.33	1e-16	0	0	35	43	11	9	36	44	9	409	6
KYAT3	11.05	1e-16	0	0	34	43	11	9	34	44	9	112	5
SCN2A	12.48	1.19e-16	0	0	37	49	9	7	37	49	9	67	5
TAF1D	12.29	1.43e-16	0	0	31	36	10	8	31	36	9	86	5
AP5M1	11.12	2.02e-16	0	0	37	53	10	8	37	54	9	190	6
ZNF613	10.24	2.21e-16	0	0	31	42	11	9	31	44	9	576	6
SSH1	12.36	3.03e-16	0	0	33	46	9	7	33	46	9	112	5
CLMP	12.2	3.26e-16	0	0	30	33	10	8	30	33	9	123	5
NFE2L1	12.22	3.26e-16	0	0	27	37	10	8	27	37	9	163	6
BMP10	10.27	5.31e-16	0	0	37	46	10	8	37	48	9	53	5
KIF11	12.28	5.75e-16	0	0	33	42	9	7	33	42	9	106	6
FRYL	9.95	6.25e-16	0	0	34	50	11	9	34	53	9	374	6
KIAA0232	9.59	6.25e-16	0	0	34	50	11	9	35	53	9	413	5
PCDHGA5	10.87	7.65e-16	0	0	33	35	11	9	34	35	9	206	5
PCDH20	12.1	7.77e-16	0	0	30	29	10	8	30	29	9	94	5
SUDS3	9.55	8.82e-16	0	0	32	50	11	9	35	51	9	136	6
EVI2B	10.92	1.46e-15	0	0	33	45	10	8	33	46	8	288	6
CHMP4B	11.96	1.82e-15	0	0	25	23	11	9	25	23	8	234	6
RNF180	11.96	1.82e-15	0	0	23	25	11	9	23	25	9	192	5
BMT2	10.13	2.02e-15	0	0	35	40	10	8	35	42	9	106	5
EPB41L3	10.84	3.01e-15	0	0	33	41	10	8	33	42	9	128	5
DCP1A	11.9	3.45e-15	0	0	18	28	11	9	18	28	8	131	5
ADGRA3	9.3	7.08e-15	0	0	36	48	11	9	37	52	9	271	5
CKAP5	9.28	7.08e-15	0	0	34	49	11	9	35	53	9	237	6
EPB41L2	10.88	7.65e-15	0	0	37	48	9	7	37	49	9	63	6
ELK4	8.97	1.54e-14	0	0	31	48	11	9	33	52	9	216	5
NUMB	11.78	1.84e-14	0	0	26	21	10	8	26	21	9	81	5
ZNF557	11.78	1.84e-14	0	0	21	26	10	8	21	26	9	168	5
PTCHD1	9.35	2e-14	0	0	35	44	10	8	35	48	9	151	5
BAZ1A	11.66	2.81e-14	0	0	19	20	11	9	19	20	8	138	6
LARP4B	11.66	2.81e-14	0	0	16	23	11	9	16	23	9	187	5
PRIM2	9.32	2.81e-14	0	0	32	45	10	8	33	48	9	136	5
LHX8	11.86	2.82e-14	0	0	30	26	9	7	30	26	9	28	5
YME1L1	11.75	3.17e-14	0	0	15	31	10	8	15	31	9	225	5
NRG3	9.3	4e-14	0	0	35	41	10	8	35	45	9	67	5
CHST11	10.54	5.91e-14	0	0	26	34	10	8	26	35	9	171	5
